nombre_archivo,url_archivo
S_AMAZONAS_100K.zip,https://drive.google.com/file/d/1lXSW6Ccn5qA7Bw6aNElISGMRD3Ooz8oj/view?usp=sharing
S_ANTIOQUIA_100K.zip,https://drive.google.com/file/d/1UqzZ8CJ3353piPBvWFD1ot_LpamnCr04/view?usp=sharing
S_ARAUCA_100K.zip,https://drive.google.com/file/d/1VJX31-vP7aIhXnrgz5rGLUuTJvwSLU0p/view?usp=sharing
